City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
516,riosucio,5.4216,-75.7032,15.56,95,97,0.56,CO,1708332148
517,kolonia town,6.964,158.206,27.89,76,72,9.99,FM,1708332148
518,kizilcahamam,40.4697,32.6506,4.79,58,64,1.79,TR,1708332149
519,asaita,11.5636,41.4394,30.56,43,42,1.42,ET,1708332149
520,callao,-12.0667,-77.15,25.95,78,75,4.12,PE,1708332103
521,longquan,24.6719,102.1613,22.71,21,34,6.26,CN,1708332149
522,cherokee,34.2668,-84.4499,4.99,63,0,4.63,US,1708331973
523,polygyros,40.3744,23.4383,10.51,65,83,3.21,GR,1708332150
524,gokwe,-18.2048,28.9349,28.64,37,14,4.66,ZW,1708332150
525,portel,-1.9356,-50.8211,24.42,90,100,1.83,BR,1708332150
526,nuuk,64.1835,-51.7216,-1.66,86,20,6.69,GL,1708332150
527,vila velha,-20.3297,-40.2925,24.41,94,75,1.03,BR,1708332150
528,aras-asan,8.8908,126.3033,25.95,88,24,4.54,PH,1708332151
529,labrador city,52.9463,-66.9114,-24.05,70,100,5.66,CA,1708332151
530,brookings,44.3114,-96.7984,-5.35,94,0,3.6,US,1708332036
531,pascagoula,30.3658,-88.5561,5.02,93,0,0.0,US,1708332151
532,mazatlan,23.2167,-106.4167,18.28,78,0,0.0,MX,1708332152
533,piraju,-23.1936,-49.3839,18.19,95,2,1.37,BR,1708332152
534,corabia,43.7833,24.5,6.32,58,73,4.48,RO,1708332152
535,chornomors'k,46.305,30.6548,1.88,58,40,4.19,UA,1708332152
536,dompu,-8.5356,118.4622,29.61,81,90,1.13,ID,1708332153
537,businga,3.3333,20.8833,35.54,35,57,1.11,CD,1708332153
538,palikir - national government center,6.9248,158.1611,27.31,77,72,10.01,FM,1708331957
539,markovo,57.3206,107.0881,-22.79,89,100,3.26,RU,1708332153
540,santiago del estero,-27.7951,-64.2615,22.58,67,0,2.99,AR,1708332154
541,porto cristo,39.5395,3.333,15.18,66,100,0.78,ES,1708332154
542,zamora,-4.0692,-78.9567,18.95,98,100,0.45,EC,1708332154
543,tidjikja,18.5564,-11.4271,20.97,22,0,10.75,MR,1708332154
544,petauke,-14.2426,31.3253,27.7,45,84,2.87,ZM,1708332154
545,bechar,31.6167,-2.2167,9.18,61,0,3.09,DZ,1708332155
546,tutoia,-2.7619,-42.2744,26.71,85,100,4.04,BR,1708332151
547,al wakrah,24.85,51.3333,23.05,32,3,7.75,QA,1708332155
548,anshun,26.25,105.9333,24.49,22,0,8.86,CN,1708331958
549,mildura,-34.2,142.15,30.82,16,54,4.4,AU,1708332156
550,indergarh,26.9352,79.6724,28.82,26,0,4.12,IN,1708332156
